"stateFlagCode","state","CrimeRate_TotalNumberOfCrimes_2023","CrimeRate_TotalCrimeRate_ratePer100k_2023","CrimeRate_ViolentCrimesTotalNumber_num_2023","CrimeRate_ViolentCrimesTotalRate_ratePer100k_2023","CrimeRate_HomicidesCount_num_2023","CrimeRate_RapeCount_num_2023","CrimeRate_RobberyCount_num_2023","CrimeRate_AggravatedAssaultCount_num_2023","CrimeRate_NonViolentCrimesTotalNumber_num_2023","CrimeRate_NonViolentCrimesTotalRate_rateper100k_2023","CrimeRate_BurglaryCount_num_2023","CrimeRate_LarcenyCount_num_2023","CrimeRate_VehicleTheftCount_num_2023"
,"California",1104212,2833.84,198036,508.24,1929,14190,49977,131940,906176,2325.6,135369,571215,199592
,"Texas",806610,2644.34,123856,406.04,1845,15097,21000,85914,682754,2238.3,92693,465016,125045
,"New York",428313,2188.48,76298,389.85,595,4900,20578,50225,352015,1798.64,29905,286473,35637
,"Florida",408486,1806.6,65621,290.22,1066,6755,9564,48236,342865,1516.38,36874,276181,29810
,"North Carolina",266145,2456.23,42408,391.38,855,3051,5617,32885,223737,2064.85,38500,156871,28366
,"Illinois",254782,2030.19,38915,310.09,823,5336,13835,18921,215867,1720.1,29094,143511,43262
,"Washington",253444,3243.93,27909,357.22,373,2917,6416,18203,225535,2886.71,37583,134730,53222
,"Georgia",239896,2175.09,38800,351.79,782,3584,4657,29777,201096,1823.3,24633,148829,27634
,"Pennsylvania",239204,1845.47,34534,266.43,861,3256,8230,22187,204670,1579.04,17896,152449,34325
,"Ohio",233246,1979.02,33770,286.53,639,5544,5857,21730,199476,1692.49,27516,140210,31750
,"Tennessee",213083,2990.01,44769,628.21,703,2678,5095,36293,168314,2361.81,21145,115002,32167
,"Michigan",201122,2003.75,45888,457.18,591,5909,3701,35687,155234,1546.58,20598,106397,28239
,"Colorado",197069,3352.88,27859,473.99,314,3453,3793,20299,169210,2878.89,21079,109817,38314
,"Virginia",165155,1894.91,20589,236.23,520,2595,3283,14191,144566,1658.69,10665,118839,15062
,"Arizona",163915,2205.72,30383,408.85,442,3013,4504,22424,133532,1796.88,17462,95603,20467
,"New Jersey",161934,1742.94,20564,221.34,264,1660,4635,14005,141370,1521.61,14382,109269,17719
,"Missouri",158243,2553.89,28419,458.66,564,2877,3280,21698,129824,2095.23,15563,84604,29657
,"Maryland",154339,2497.29,26338,426.16,515,1973,8079,15771,128001,2071.13,11487,82682,33832
,"Louisiana",145363,3178.2,25065,548.02,663,2157,2436,19809,120298,2630.18,20443,82592,17263
,"South Carolina",143158,2664.12,25312,471.05,482,1958,2108,20764,117846,2193.07,17263,86930,13653
,"Indiana",128699,1875.48,22794,332.17,386,2338,2773,17297,105905,1543.31,14979,74753,16173
,"Oregon",123485,2916.95,13813,326.29,189,1711,2642,9271,109672,2590.66,14383,77789,17500
,"Minnesota",112666,1963.54,14984,261.14,180,2043,2782,9979,97682,1702.4,10523,71839,15320
,"Alabama",107428,2102.94,20635,403.94,524,1514,1832,16765,86793,1699,13009,63333,10451
,"Oklahoma",103867,2562.2,16770,413.68,247,2376,1510,12637,87097,2148.51,18586,57816,10695
,"Massachusetts",99065,1414.93,21998,314.19,146,1910,2560,17382,77067,1100.74,9231,59672,8164
,"Nevada",93709,2933.75,13313,416.79,218,1582,2291,9222,80396,2516.96,12797,45902,21697
,"Wisconsin",88986,1505.44,17057,288.57,283,2156,2285,12333,71929,1216.88,7619,54374,9936
,"Arkansas",87394,2848.81,19016,619.87,289,2219,1154,15354,68378,2228.94,12518,49166,6694
,"Kentucky",80400,1776.34,10153,224.32,275,1515,1774,6589,70247,1552.02,10521,46846,12880
,"New Mexico",76896,3636.83,15844,749.35,244,1114,1542,12944,61052,2887.48,10950,39117,10985
,"Kansas",74206,2523.54,12635,429.68,136,1302,920,10277,61571,2093.86,8622,45906,7043
,"Utah",63692,1863.57,7936,232.2,68,1859,901,5108,55756,1631.37,5798,44906,5052
,"Connecticut",61805,1708.65,5434,150.23,135,728,1569,3002,56371,1558.43,4623,41187,10561
,"Iowa",55180,1720.61,8978,279.95,79,1323,715,6861,46202,1440.66,7010,33893,5299
,"Mississippi",52618,1789.92,5961,202.78,204,958,630,4169,46657,1587.14,8946,32141,5570
,"Nebraska",43639,2205.8,4545,229.73,64,957,520,3004,39094,1976.06,3353,27490,8251
,"District of Columbia",37060,5458.25,7814,1150.86,265,267,4170,3112,29246,4307.39,1668,20307,7271
,"Hawaii",26647,1856.76,2685,187.09,20,407,638,1620,23962,1669.67,2524,17083,4355
,"West Virginia",25852,1460.51,4699,265.47,87,823,199,3590,21153,1195.04,3156,16355,1642
,"Montana",25779,2275.66,5007,442,32,616,273,4086,20772,1833.67,1929,16678,2165
,"Delaware",23328,2260.71,3923,380.18,46,194,535,3148,19405,1880.53,1823,15075,2507
,"Idaho",20502,1043.5,4598,234.03,46,843,186,3523,15904,809.48,2767,11635,1502
,"Alaska",19096,2603.74,5327,726.34,62,868,568,3829,13769,1877.4,1830,9959,1980
,"South Dakota",18093,1968.09,3215,349.72,27,462,188,2538,14878,1618.37,2042,10585,2251
,"North Dakota",17313,2208.5,2096,267.37,26,392,203,1475,15217,1941.13,2509,10982,1726
,"Maine",17070,1223.02,1430,102.46,60,423,163,784,15640,1120.57,1538,13000,1102
,"Rhode Island",14124,1288.73,1839,167.8,28,402,241,1168,12285,1120.93,1297,9452,1536
,"New Hampshire",13966,996.11,1503,107.2,26,499,225,753,12463,888.91,779,10848,836
,"Vermont",12977,2004.28,1362,210.36,16,198,94,1054,11615,1793.92,898,10124,593
,"Wyoming",9701,1660.97,1116,191.08,18,314,67,717,8585,1469.89,1185,6631,769
